[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
Episode:    1 | Duration:    28 | Mean duration:   14.000 | Epsilon threshold: 0.970741
Episode:    2 | Duration:    12 | Mean duration:   13.333 | Epsilon threshold: 0.958332
Episode:    3 | Duration:    17 | Mean duration:   14.250 | Epsilon threshold: 0.941415
Episode:    4 | Duration:    13 | Mean duration:   14.000 | Epsilon threshold: 0.928466
Episode:    5 | Duration:    12 | Mean duration:   13.667 | Epsilon threshold: 0.916603
Episode:    6 | Duration:    25 | Mean duration:   15.286 | Epsilon threshold: 0.893335
Episode:    7 | Duration:    28 | Mean duration:   16.875 | Epsilon threshold: 0.868087
Episode:    8 | Duration:    18 | Mean duration:   17.000 | Epsilon threshold: 0.851937
Episode:    9 | Duration:    29 | Mean duration:   18.200 | Epsilon threshold: 0.827054
Episode:   10 | Duration:     9 | Mean duration:   17.364 | Epsilon threshold: 0.818924
Episode:   11 | Duration:    13 | Mean duration:   17.000 | Epsilon threshold: 0.807678
Episode:   12 | Duration:    39 | Mean duration:   18.692 | Epsilon threshold: 0.776401
Episode:   13 | Duration:    46 | Mean duration:   20.643 | Epsilon threshold: 0.741213
Episode:   14 | Duration:    16 | Mean duration:   20.333 | Epsilon threshold: 0.728888
Episode:   15 | Duration:    40 | Mean duration:   21.562 | Epsilon threshold: 0.700009
Episode:   16 | Duration:    27 | Mean duration:   21.882 | Epsilon threshold: 0.680957
Episode:   17 | Duration:    30 | Mean duration:   22.333 | Epsilon threshold: 0.660476
Episode:   18 | Duration:    56 | Mean duration:   24.105 | Epsilon threshold: 0.624436
Episode:   19 | Duration:    98 | Mean duration:   27.800 | Epsilon threshold: 0.566521
Episode:   20 | Duration:    55 | Mean duration:   29.095 | Epsilon threshold: 0.536212
Episode:   21 | Duration:   153 | Mean duration:   34.727 | Epsilon threshold: 0.461107
Episode:   22 | Duration:   189 | Mean duration:   41.435 | Epsilon threshold: 0.383047
Episode:   23 | Duration:   116 | Mean duration:   44.542 | Epsilon threshold: 0.341857
Episode:   24 | Duration:   315 | Mean duration:   55.360 | Epsilon threshold: 0.251944
Episode:   25 | Duration:    11 | Mean duration:   53.654 | Epsilon threshold: 0.249058
Episode:   26 | Duration:     7 | Mean duration:   51.926 | Epsilon threshold: 0.247153
Episode:   27 | Duration:     9 | Mean duration:   50.393 | Epsilon threshold: 0.244793
Episode:   28 | Duration:     9 | Mean duration:   48.966 | Epsilon threshold: 0.242457
Episode:   29 | Duration:     8 | Mean duration:   47.600 | Epsilon threshold: 0.240374
Episode:   30 | Duration:     9 | Mean duration:   46.355 | Epsilon threshold: 0.238082
Episode:   31 | Duration:    31 | Mean duration:   45.875 | Epsilon threshold: 0.230899
Episode:   32 | Duration:    68 | Mean duration:   46.545 | Epsilon threshold: 0.216171
Episode:   33 | Duration:  1287 | Mean duration:   83.029 | Epsilon threshold: 0.0668664
Episode:   34 | Duration:    38 | Mean duration:   81.743 | Epsilon threshold: 0.0646913
Episode:   35 | Duration:    31 | Mean duration:   80.333 | Epsilon threshold: 0.0629689
Episode:   36 | Duration:    13 | Mean duration:   78.514 | Epsilon threshold: 0.0622325
Episode:   37 | Duration:     8 | Mean duration:   76.658 | Epsilon threshold: 0.0617645
Episode:   38 | Duration:    11 | Mean duration:   74.974 | Epsilon threshold: 0.0611471
Episode:   39 | Duration:     9 | Mean duration:   73.325 | Epsilon threshold: 0.0606381
Episode:   40 | Duration:     8 | Mean duration:   71.732 | Epsilon threshold: 0.0601844
Episode:   41 | Duration:     9 | Mean duration:   70.238 | Epsilon threshold: 0.0596851
Episode:   42 | Duration:     9 | Mean duration:   68.814 | Epsilon threshold: 0.0591907
Episode:   43 | Duration:     9 | Mean duration:   67.455 | Epsilon threshold: 0.0587013
Episode:   44 | Duration:     8 | Mean duration:   66.133 | Epsilon threshold: 0.0582649
Episode:   45 | Duration:     9 | Mean duration:   64.891 | Epsilon threshold: 0.0577847
Episode:   46 | Duration:    26 | Mean duration:   64.064 | Epsilon threshold: 0.0565117
Episode:   47 | Duration:    61 | Mean duration:   64.000 | Epsilon threshold: 0.0537156
Episode:   48 | Duration:     9 | Mean duration:   62.878 | Epsilon threshold: 0.0532806
Episode:   49 | Duration:    14 | Mean duration:   61.900 | Epsilon threshold: 0.0526363
Episode:   50 | Duration:    18 | Mean duration:   61.039 | Epsilon threshold: 0.0518338
Episode:   51 | Duration:    42 | Mean duration:   60.673 | Epsilon threshold: 0.0500731
Episode:   52 | Duration:    61 | Mean duration:   60.679 | Epsilon threshold: 0.047664
Episode:   53 | Duration:   110 | Mean duration:   61.593 | Epsilon threshold: 0.043707
